Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
187/2018,DISPENSA DE LICITAÇÃO,85,27-09-2018 08:30,,28-09-2018,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
186/2018,INEXIGIBILIDADE DE LICITAÇÃO,12,26-09-2018 08:30,,27-09-2018,Encerrado,"Contratação de empresa para realização de show artístico com a Dupla ""Edy Britto & Samuel"", em evento destinado a comemoração das festividades do ""145º Aniversário de Prata"",  que será realizado no dia 14 de Novembro de 2018, na Praça XV de Novembro, Centro, Prata - MG.",,,,,
178/2018,PREGÃO - REGISTRO DE PREÇO,27,24-09-2018 08:30,,11-09-2018,Encerrado,"Registro de preços para futura e eventual aquisição de materiais hospitalares para serem usados na manutenção da Policlínica Conceição Aparecida Rodrigues Costa, PAM - Pronto Atendimento Municipal, das Unidades Básicas da Zona Rural, CAPS - Centro de Atenção Psicossocial, Vigilância Sanitária, Vigilância Ambiental-Zoonoses, das UBSF's - Unidades Básicas de Saúde da Família, atendendo as necessidades da Secretaria de Saúde da Prefeitura Municipal de Prata-MG.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 4 de, 14,,,
185/2018,DISPENSA DE LICITAÇÃO,84,21-09-2018 14:00,,24-09-2018,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Civil Pública nº 0030869-23.2013.8.13.0528.",,,,,
184/2018,DISPENSA DE LICITAÇÃO,83,21-09-2018 10:00,,24-09-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente José Gaspar de Oliveira, conforme determinação de Ação Civil Pública nº 0006142-58.2017.8.13.0528.",,,,,
183/2018,DISPENSA DE LICITAÇÃO,82,21-09-2018 08:30,,24-09-2018,Encerrado,"Contratação de empresa prestadora de serviço médico para realização de procedimento de aplicação intra-ocular (uma ampola no olho direito) do medicamento Lucentis (medicamento incluso) para a paciente Zalda Olinda de Souza, conforme determinação de Ação Civil Pública nº 0028114-21.2016.8.13.0528.",,,,,
177/2018,PREGÃO PRESENCIAL,54,20-09-2018 08:30,,10-09-2018,Encerrado,"Contratação de empresa especializada para realização de evento na Praça XV de Novembro, Centro, no dia 12 de outubro de 2018, destinado a comemoração do ""Dia das Crianças"", início previsto às 15:00 horas e término às 18:00 horas.",,,,,
181/2018,DISPENSA DE LICITAÇÃO,81,19-09-2018 14:00,,20-09-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente Paulo Henrique dos Santos, conforme determinação de Ação Civil Pública nº 0029807-40.2016.8.13.0528.",,,,,
180/2018,DISPENSA DE LICITAÇÃO,80,17-09-2018 14:00,,18-09-2018,Encerrado,Aquisição de medicamento excepcional para o paciente Edgar Costa Santos conforme determinação de Ação Civil Pública nº 14029-73.2013.4.01.3803.,,,,,
179/2018,DISPENSA DE LICITAÇÃO,79,17-09-2018 08:00,,18-09-2018,Encerrado,"Aquisição de materiais para recuperação de ponte na Região de Pra-Monte, localizada na divisa dos Municípios de Prata e Monte Alegre, Zona Rural, sob o Rio Tejuco. Conforme Termo de Compromisso e Cooperação mutua firmado entre o Município de Prata e Monte Alegre de Minas.",,,,,
168/2018,PREGÃO - REGISTRO DE PREÇO,26,11-09-2018 08:30,,29-08-2018,Encerrado,Registro de preços para futura e eventual aquisição de câmaras de ar e protetores para manutenção dos veículos e máquinas da frota da Prefeitura Municipal de Prata-MG.,,,,,
167/2018,PREGÃO PRESENCIAL,52,10-09-2018 08:30,,28-08-2018,Encerrado,"Contratação de empresa especializada em confecção, instalação e manutenção de esquadrias metálicas tipo: portas, portões e grades de proteção, com fornecimento de material e mão de obra necessária, para atender as Secretarias de: Saúde, Educação, Serviços Públicos e Esporte e Lazer.",,,,,
176/2018,DISPENSA DE LICITAÇÃO,78,06-09-2018 08:30,,10-09-2018,Encerrado,"Aquisição de materiais para recuperação de ponte na Região de Pra-Monte, localizada na divisa dos Municípios de Prata e Monte Alegre, Zona Rural, sob o Rio Tejuco. Conforme Termo de Compromisso e Cooperação mutua firmado entre o Município de Prata e Monte Alegre de Minas.",,,,,
164/2018,PREGÃO PRESENCIAL,51,04-09-2018 08:30,,23-08-2018,Anulado,"Aquisição de equipamento/material permanente, para as Unidades de Saúde: UBSF Bela Vista, UBSF Cruzeiro do Sul, UBSF Esperança, UBSF Jardim Brasil e UBSF Primavera, conforme recurso referente a proposta nº 14179.123000/1150-03, Portaria nº 202 de 15 de fevereiro de 2015.",,,,,
174/2018,DISPENSA DE LICITAÇÃO,77,31-08-2018 16:00,,03-09-2008,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em olho direito) do medicamento Lucentis (medicamento incluso) para o paciente Antonio Raimundo Nunes da Silveira, conforme determinação de Ação Civil Pública nº 0015739-51.2017.8.13.0528.",,,,,
173/2018,DISPENSA DE LICITAÇÃO,76,31-08-2018 15:00,,03-09-2018,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528, ",,,,,
172/2018,DISPENSA DE LICITAÇÃO,75,31-08-2018 14:00,,03-09-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente Estevão Raimundo dos Santos, conforme determinação de Ação Civil Pública nº 0019889-75.2017.8.13.0528.",,,,,
171/2018,DISPENSA DE LICITAÇÃO,74,31-08-2018 13:00,,03-09-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente José da Costa Machado, conforme determinação de Ação Civil Pública nº 0001356-34.2018.8.13.0528.",,,,,
170/2018,DISPENSA DE LICITAÇÃO,73,31-08-2018 10:00,,03-09-2018,Encerrado,"Contratação de empresa especializada para execução de serviços em manutenção para Processadora de Raio-X, marca Mamoray Classic - AGFA, modelo EOS, patrimônio nº 10.915, do PAM (Pronto Atendimento Municipal).",,,,,
136/2018,PREGÃO PRESENCIAL,44,31-08-2018 08:30,,03-08-2018,Deserto,"Contratação de empresa para prestação de serviços de engenharia para execução de perfuração de poço artesiano, com fornecimento de bomba submersa, no Distrito de Jardinésia no Município de Prata-MG.",,,,,
169/2018,DISPENSA DE LICITAÇÃO,72,31-08-2018 08:00,,03-09-2018,Encerrado,"Serviço a ser prestado em manutenção de uma Bomba de Infusão, modelo LF 2001, patrimônio nº 14082, que se encontra com a paciente Camille Bianca Eulálio Souza, em regime de comodato, conforme determinação de Ação Civil Pública nº 0011446-43.2014.8.13.0528.",,,,,
160/2018,PREGÃO PRESENCIAL,50,30-08-2018 08:30,,20-08-2018,Encerrado,"Aquisição de equipamentos e materiais permanentes para serem usados na manutenção da UBSF do Bairro Primavera, conforme recurso referente a Proposta nº 14179.123000/1170-15, Portaria 2.324 de 12 de setembro de 2017.",,,,,
159/2018,PREGÃO PRESENCIAL,49,29-08-2018 08:30,,17-08-2018,Encerrado,"Aquisição de equipamento e materiais permanentes para serem usados na manutenção da UBSF do Bairro Bela Vista, conforme recurso referente a Proposta nº 14179.123000/1170-16, Portaria 2179 de 29 de agosto de 2017.",,,,,
166/2018,DISPENSA DE LICITAÇÃO,71,27-08-2018 14:00,,28-08-2018,Encerrado,"Aquisição de insumos para diabetes para o paciente José Rodrigues Nobre, conforme determinação de Ação Civil Pública nº 0005393-75.2016.8.13.0528.",,,,,
165/2018,DISPENSA DE LICITAÇÃO,70,27-08-2018 10:00,,28-08-2018,Encerrado,"Aquisição de sonda aspiração traqueal para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Civil Pública nº 0011446-43.2014.8.13.0528.",,,,,
157/2018,PREGÃO PRESENCIAL,48,27-08-2018 08:30,,15-08-2018,Encerrado,"Contratação de empresa para realização de evento festivo denominado ""Festa do Idoso"", visando disponibilizar espaço para atividades de lazer e homenagem às pessoas da 3ª ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 5 de, 14,,,
,,,,,,,"idade, a se realizar no dia 16/09/2018.",,,,,
149/2018,PREGÃO - REGISTRO DE PREÇO,22,24-08-2018 08:30,,01-08-2018,Encerrado,"Registro de preços para futura e eventual aquisição de concreto usinado, destinado a construção de pontes urbanas, lastro de valas e calçadas, em diversas ruas e logradouros do município de Prata-MG.",,,,,
155/2018,PREGÃO PRESENCIAL,47,23-08-2018 08:30,,13-08-2018,Encerrado,"Contratação de empresa especializada em serviços de terraplanagem para recuperação de estradas vicinais da Zona Rural do Município de Prata-MG, utilizando no mínimo 01 (uma) Pá Carregadeira e 01 (uma) Motoniveladora, atendendo as necessidades da Secretaria de Agricultura e Assistência Rural.",,,,,
163/2018,DISPENSA DE LICITAÇÃO,69,20-08-2018 16:00,,21-08-2018,Encerrado,"Aquisição de equipos para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Judicial nº 0011446-43.2014.8.13.0528",,,,,
162/2018,DISPENSA DE LICITAÇÃO,68,20-08-2018 14:00,,21-08-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em ambos os olhos) do medicamento Lucentis (medicamento incluso) para o paciente Valmir Aparecido Bento da Silva, conforme determinação de Ação Civil Pública nº 0000382-94.2018.8.13.0528.",,,,,
161/2018,DISPENSA DE LICITAÇÃO,67,20-08-2018 10:00,,21-08-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em ambos os olhos) do medicamento Lucentis (medicamento incluso) para a paciente Maria Abadia Pereira de Souza, conforme determinação de Ação Civil Pública nº 0000400-52.2017.8.13.0528.",,,,,
154/2018,PREGÃO - REGISTRO DE PREÇO,24,20-08-2018 08:30,,08-08-2018,Encerrado,"Registro de preços para futura e eventual aquisição de materiais odontológicos, instrumentais e equipamentos para serem usados na manutenção das Unidades Básicas de Saúde - PSF's e do COM - Centro Odontológico Municipal, atendendo as necessidades da Secretaria de Saúde da Prefeitura Municipal de Prata-MG.",,,,,
158/2018,PREGÃO - REGISTRO DE PREÇO,25,17-08-2018 13:30,,17-08-2018,Encerrado,"Adesão mediante ""CARONA"" à Ata de Registro de Preços nº 001 referente ao Pregão Eletrônico nº 020/2017 - do Ministério da Defesa - Exército Brasileiro - CMO - 13ª BDA INF MTZ - 58º Batalhão de Infantaria Motorizado, para aquisição de uma Ambulância Tipo D - UTI.",,,,,
150/2018,PREGÃO - REGISTRO DE PREÇO,23,16-08-2018 08:30,,03-08-2018,Encerrado,"Registro de preços para futura e eventual contratação de empresa especializada para fornecimento de fogos de artifício, para atender as demandas provenientes dos eventos da Prefeitura Municipal de Prata-MG.",,,,,
147/2018,INEXIGIBILIDADE DE LICITAÇÃO,11,15-08-2018 08:30,,31-07-2018,Encerrado,"Credenciamento de profissionais ou de pessoas jurídicas para prestação de serviços na área de saúde, para as seguintes funções: médico pediatra, médico urologista, procedimentos pequenas cirurgias e médicos plantonistas.",,,,,
156/2018,DISPENSA DE LICITAÇÃO,66,14-08-2018 10:00,,15-08-2018,Encerrado,"Aquisição de peças novas e serviço de mão de obra mecânica para revisão de garantia de 10.000 km do veículo Fiat/Mobi Easy On, Ano e Modelo 2017, placa PZR-3583, a serviço da Saúde - PSFs.",,,,,
121/2018,PREGÃO PRESENCIAL,41,08-08-2018 08:30,,06-07-2018,Encerrado,"Aquisição de equipamentos odontológicos para as equipes de Saúde Bucal da Atenção Básica, conforme Proposta nº 3152801712201256739, Portaria nº 3.672, de 22 de Dezembro de 2017.",,,,,
153/2018,DISPENSA DE LICITAÇÃO,65,07-08-2018 16:00,,08-08-2018,Encerrado,Aquisição de medicamento excepcional para o paciente Edgar Costa Santos conforme determinação de Ação Civil Pública nº 14029-73.2013.4.01.3803.,,,,,
152/2018,DISPENSA DE LICITAÇÃO,64,07-08-2018 14:00,,08-08-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente Paulo Henrique dos Santos, conforme determinação de Ação Civil Pública nº 0029807-40.2016.8.13.0528.",,,,,
151/2018,DISPENSA DE LICITAÇÃO,63,07-08-2018 10:00,,08-08-2018,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
143/2018,PREGÃO PRESENCIAL,46,07-08-2018 08:30,,26-07-2018,Encerrado,"Contratação de empresa para prestação de serviços de manutenção preventiva, corretiva e instalações elétricas em geral de Prédio Públicos do Município de Prata-MG.",,,,,
142/2018,PREGÃO PRESENCIAL,45,06-08-2018 08:30,,25-07-2018,Encerrado,"Aquisição de Unidade Móvel de Saúde - veículo de transporte sanitário 0 (zero) km, para a UBS do Bairro Colina Park Boulevard, conforme a Emenda Parlamentar Proposta nº 14179.123000/1180-09, Portaria nº 1.154 de 23 de Abril de 2018.",,,,,
148/2018,PREGÃO - REGISTRO DE PREÇO,21,01-08-2018 13:30,,01-08-2018,Encerrado,"Adesão mediante ""CARONA"" à Ata de Registro de Preços nº 106/2018 do Município de Patos de Minas - Processo Licitatório nº 079/2018 - Pregão Eletrônico nº 025/2018, para aquisição de uma máquina Motoniveladora nova de fábrica, nos termos do processo de Habilitação de Operação de Crédito constantes do Edital de habilitação 2017 - Linha de Financiamento BDMG MAQ, Contrato de Financiamento BDMG/BF nº 240.938/2017, assinado em 28 de dezembro de 2017.",,,,,
135/2018,PREGÃO - REGISTRO DE PREÇO,20,01-08-2018 08:30,,18-07-2018,Encerrado,"Registro de preços para futura e eventual aquisição de medicamentos excepcionais, para atender possíveis Ações Judiciais.",,,,,
126/2018,PREGÃO PRESENCIAL,43,31-07-2018 08:30,,12-07-2018,Encerrado,"Contratação de empresa especializada para serviços, com fornecimento de material e mão de obra necessária para confecção, instalação, desmontagem, montagem e substituição de esquadrias metálicas tipo: grades metálicas, estruturas metálicas e portão metálico para atender as necessidades das diversas Secretarias do município de Prata - MG.",,,,,
122/2018,TOMADA DE PREÇOS,3,30-07-2018 08:30,,10-07-2018,Encerrado,"Contratação de empresa especializada para execução de serviços de restauração do Bem Inventariado EAU27-Zona 02/2005 da Estátua de Nossa Senhora do Carmo, situado no Morrinho de Prata/MG, com fornecimento de materiais, mão de obra e estrutura necessária.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 6 de, 14,,,
146/2018,DISPENSA DE LICITAÇÃO,62,26-07-2018 16:00,,27-07-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em olho direito) do medicamento Lucentis (medicamento não incluso) para a paciente Aurora Barbosa Ferreira, conforme determinação de Ação Civil Pública nº 0005894-58.2018.8.13.0528.",,,,,
145/2018,DISPENSA DE LICITAÇÃO,61,26-07-2018 14:00,,27-07-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em ambos os olhos) do medicamento Lucentis (medicamento incluso) para o paciente Antonio Raimundo Nunes da Silveira, conforme determinação de Ação Civil Pública nº 0015739-51.2017.8.13.0528. ",,,,,
144/2018,DISPENSA DE LICITAÇÃO,60,26-07-2018 10:00,,27-07-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento cirúrgico  Facectomia com lente intra-ocular, Vitrectomia via Plas Plana completa com implante de óleo de silicone em olho esquerdo, Endolaser e Infusão de perfluorocutano para o paciente Antonio Raimundo Nunes da Silveira, conforme determinação de Ação Civil Pública nº 0004830-13.2018.8.13.0528. ",,,,,
